OTU	g__[Eubacterium]	g__[Prevotella]	g__[Ruminococcus]	g__Sutterella	g__Acinetobacter	g__Actinobacillus	g__Dialister	g__Actinomyces	g__Parvimonas	g__Neisseria	g__Dorea	g__Streptococcus	g__Aggregatibacter	g__Eikenella	g__Holdemania	g__Akkermansia	g__Epulopiscium	g__Erwinia	g__Oscillospira	g__Faecalibacterium	g__Parabacteroides	g__Anaerostipes	g__Fusobacterium	g__Turicibacter	g__Phascolarctobacterium	g__Odoribacter	g__Bacteroides	g__Granulicatella	g__Haemophilus	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Porphyromonas	g__Prevotella	g__Pseudomonas	g__Campylobacter	g__Lachnospira	g__Eggerthella	g__Staphylococcus	g__Roseburia	g__Rothia	g__Veillonella	g__Ruminococcus	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium
g__Dorea	0.0	0.031	0.0	0.065	0.001	0.0	0.789	0.0	0.017	0.0	1.0	0.0	0.0	0.0	0.0	0.324	0.143	0.0	0.0	0.0	0.0	0.01	0.042	0.009	0.048	0.982	0.0	0.0	0.0	0.932	0.053	0.0	0.0	0.022	0.02	0.0	0.567	0.0	0.001	0.0	0.0	0.0	0.0	0.039	0.811	0.0	0.0
g__Streptococcus	0.001	0.547	0.0	0.009	0.0	0.0	0.04	0.0	0.003	0.0	0.0	1.0	0.0	0.055	0.0	0.008	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.008	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.213	0.488	0.001	0.0	0.01	0.178	0.005	0.0	0.0	0.0	0.0	0.524	0.012	0.0	0.0
g__Aggregatibacter	0.0	0.04	0.0	0.115	0.01	0.0	0.001	0.001	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.002	0.005	0.0	0.0	0.001	0.0	0.0	0.0	0.224	0.002	0.002	0.002	0.0	0.0	0.036	0.1	0.0	0.0	0.066	0.085	0.0	0.0	0.111	0.106	0.0	0.0	0.0	0.0	0.586	0.108	0.0	0.033
g__Eikenella	0.021	0.028	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.055	0.0	1.0	0.107	0.273	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.007	0.002	0.0	0.0	0.0	0.0	0.031	0.329	0.0	0.24	0.059	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.228	0.995	0.0	0.0
g__Holdemania	0.0	0.071	0.005	0.941	0.001	0.0	0.309	0.018	0.236	0.0	0.0	0.0	0.0	0.107	1.0	0.004	0.032	0.0	0.0	0.352	0.0	0.0	0.0	0.272	0.0	0.0	0.003	0.001	0.0	0.149	0.001	0.0	0.2	0.129	0.005	0.091	0.0	0.006	0.0	0.0	0.001	0.0	0.006	0.087	0.195	0.0	0.02
g__Akkermansia	0.201	0.61	0.073	0.606	0.125	0.118	0.873	0.217	0.431	0.009	0.324	0.008	0.002	0.273	0.004	1.0	0.032	0.003	0.009	0.73	0.175	0.0	0.009	0.013	0.43	0.006	0.842	0.138	0.006	0.178	0.203	0.051	0.041	0.812	0.105	0.176	0.034	0.253	0.318	0.074	0.017	0.001	0.079	0.135	0.785	0.033	0.459
g__Epulopiscium	0.107	0.005	0.661	0.0	0.002	0.005	0.012	0.001	0.0	0.15	0.143	0.001	0.005	0.0	0.032	0.032	1.0	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.002	0.0	0.06	0.005	0.0	0.608	0.0	0.033	0.998	0.005	0.038	0.006	0.028	0.0	0.005	0.0	0.002	0.0	0.792	0.0	0.003	0.0	0.001
g__Erwinia	0.0	0.022	0.0	0.0	0.0	0.0	0.707	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	1.0	0.0	0.0	0.0	0.122	0.0	0.001	0.03	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.001	0.02	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.791	0.022	0.0	0.0
g__Oscillospira	0.0	0.936	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	1.0	0.0	0.0	0.046	0.0	0.081	0.061	0.0	0.0	0.0	0.0	0.396	0.0	0.0	0.004	0.877	0.0	0.0	0.008	1.0	0.0	0.0	0.0	0.0	0.0	0.664	0.89	0.0	0.0
g__Faecalibacterium	0.864	0.245	0.0	0.0	0.0	0.002	0.044	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.352	0.73	0.0	0.0	0.0	1.0	0.0	0.675	0.006	0.0	0.01	0.321	0.0	0.0	0.044	0.081	0.0	0.0	0.003	0.156	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.006	0.241	0.0	0.0
g__Parabacteroides	0.009	0.51	0.0	0.0	0.0	0.0	0.111	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.0	0.0	0.0	0.0	1.0	0.118	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.416	0.0	0.0	0.012	0.101	0.0	0.0	0.0	0.0	0.0	0.002	0.146	0.0	0.0
g__Anaerostipes	0.111	0.314	0.002	0.226	0.986	0.011	0.321	0.001	0.22	0.0	0.01	0.0	0.0	0.069	0.0	0.0	0.0	0.122	0.046	0.675	0.118	1.0	0.0	0.002	0.003	0.0	0.037	0.0	0.0	0.081	0.749	0.0	0.805	0.357	0.171	0.014	0.0	0.179	0.767	0.0	0.001	0.0	0.002	0.0	0.614	0.006	0.163
g__Fusobacterium	0.002	0.429	0.0	0.624	0.613	0.0	0.0	0.162	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.009	0.002	0.0	0.0	0.006	0.0	0.0	1.0	0.001	0.023	0.0	0.56	0.0	0.0	0.0	0.931	0.0	0.01	0.418	0.031	0.0	0.0	0.12	0.887	0.0	0.014	0.0	0.0	0.003	0.373	0.0	0.266
g__Turicibacter	0.062	0.232	0.543	0.0	0.0	0.157	0.012	0.032	0.013	0.164	0.009	0.026	0.224	0.007	0.272	0.013	0.003	0.001	0.081	0.0	0.006	0.002	0.001	1.0	0.019	0.059	0.001	0.717	0.972	0.004	0.008	0.419	0.718	0.291	0.0	0.219	0.003	0.619	0.003	0.504	0.076	0.247	0.537	0.0	0.971	0.045	0.006
g__Phascolarctobacterium	0.068	0.118	0.01	0.014	0.03	0.07	0.0	0.315	0.04	0.003	0.048	0.008	0.002	0.002	0.0	0.43	0.002	0.03	0.061	0.01	0.0	0.003	0.023	0.019	1.0	0.0	0.059	0.193	0.109	0.923	0.001	0.001	0.93	0.135	0.0	0.008	0.049	0.041	0.072	0.0	0.001	0.0	0.012	0.655	0.061	0.0	0.382
g__Odoribacter	0.036	0.31	0.074	0.0	0.004	0.004	0.132	0.0	0.0	0.0	0.982	0.0	0.002	0.0	0.0	0.006	0.0	0.0	0.0	0.321	0.0	0.0	0.0	0.059	0.0	1.0	0.072	0.0	0.007	0.304	0.0	0.005	0.018	0.193	0.0	0.0	0.013	0.042	0.024	0.011	0.0	0.0	0.127	0.172	0.056	0.001	0.067
g__Bacteroides	0.784	0.003	0.0	0.0	0.0	0.0	0.031	0.0	0.218	0.0	0.0	0.0	0.002	0.0	0.003	0.842	0.06	0.0	0.0	0.0	0.0	0.037	0.56	0.001	0.059	0.072	1.0	0.0	0.124	0.088	0.0	0.0	0.003	0.011	0.0	0.0	0.021	0.862	0.0	0.007	0.0	0.01	0.0	0.001	0.014	0.0	0.0
g__Granulicatella	0.0	0.659	0.0	0.007	0.0	0.0	0.27	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.001	0.138	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.717	0.193	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.014	0.727	0.004	0.0	0.0	0.128	0.002	0.0	0.0	0.0	0.0	0.056	0.364	0.0	0.0
g__Haemophilus	0.0	0.499	0.0	0.977	0.03	0.0	0.301	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.972	0.109	0.007	0.124	0.0	1.0	0.039	0.016	0.0	0.024	0.784	0.459	0.0	0.008	0.747	0.028	0.0	0.0	0.0	0.0	0.263	0.084	0.0	0.341
g__Bifidobacterium	0.422	0.352	0.001	0.366	0.335	0.023	0.691	0.015	0.014	0.0	0.932	0.013	0.036	0.031	0.149	0.178	0.608	0.25	0.396	0.081	0.248	0.081	0.0	0.004	0.923	0.304	0.088	0.0	0.039	1.0	0.312	0.014	0.004	0.33	0.154	0.0	0.0	0.128	0.951	0.004	0.004	0.048	0.004	0.002	0.0	0.0	0.388
g__Bilophila	0.947	0.021	0.012	0.0	0.0	0.007	0.03	0.0	0.016	0.0	0.053	0.0	0.1	0.329	0.001	0.203	0.0	0.0	0.0	0.0	0.0	0.749	0.931	0.008	0.001	0.0	0.0	0.0	0.016	0.312	1.0	0.135	0.023	0.027	0.0	0.0	0.236	0.02	0.01	0.064	0.0	0.0	0.011	0.122	0.015	0.0	0.001
g__Blautia	0.0	0.779	0.0	0.005	0.0	0.0	0.229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.419	0.001	0.005	0.0	0.0	0.0	0.014	0.135	1.0	0.0	0.655	0.0	0.0	0.0	0.549	0.0	0.0	0.0	0.0	0.0	0.944	0.484	0.0	0.0
g__Porphyromonas	0.001	0.008	0.0	0.183	0.099	0.003	0.958	0.03	0.0	0.0	0.0	0.213	0.0	0.24	0.2	0.041	0.998	0.001	0.004	0.003	0.0	0.805	0.01	0.718	0.93	0.018	0.003	0.014	0.024	0.004	0.023	0.0	1.0	0.009	0.001	0.001	0.003	0.901	0.051	0.0	0.0	0.867	0.0	0.923	0.105	0.0	0.009
g__Prevotella	0.615	0.0	0.116	0.088	0.386	0.623	0.636	0.068	0.448	0.139	0.022	0.488	0.066	0.059	0.129	0.812	0.005	0.02	0.877	0.156	0.416	0.357	0.418	0.291	0.135	0.193	0.011	0.727	0.784	0.33	0.027	0.655	0.009	1.0	0.106	0.998	0.291	0.0	0.28	0.303	0.654	0.24	0.1	0.089	0.018	0.267	0.512
g__Pseudomonas	0.008	0.062	0.073	0.0	0.0	0.0	0.725	0.102	0.0	0.016	0.02	0.001	0.085	0.0	0.005	0.105	0.038	0.0	0.0	0.0	0.0	0.171	0.031	0.0	0.0	0.0	0.0	0.004	0.459	0.154	0.0	0.0	0.001	0.106	1.0	0.016	0.174	0.005	0.0	0.0	0.0	0.849	0.047	0.764	0.826	0.0	0.0
g__Campylobacter	0.01	0.978	0.0	0.0	0.001	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.176	0.006	0.0	0.0	0.0	0.0	0.014	0.0	0.219	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.998	0.016	1.0	0.0	0.015	0.006	0.0	0.0	0.0	0.0	0.79	0.002	0.0	0.0
g__Lachnospira	0.001	0.237	0.0	0.536	0.053	0.0	0.198	0.022	0.01	0.0	0.567	0.01	0.0	0.0	0.0	0.034	0.028	0.0	0.008	0.0	0.012	0.0	0.0	0.003	0.049	0.013	0.021	0.0	0.008	0.0	0.236	0.0	0.003	0.291	0.174	0.0	1.0	0.004	0.064	0.0	0.0	0.0	0.0	0.003	0.495	0.0	0.0
g__Eggerthella	0.016	0.0	0.288	0.009	0.007	0.364	0.036	0.03	0.046	0.164	0.0	0.178	0.111	0.0	0.006	0.253	0.0	0.007	1.0	0.009	0.101	0.179	0.12	0.619	0.041	0.042	0.862	0.128	0.747	0.128	0.02	0.549	0.901	0.0	0.005	0.015	0.004	1.0	0.959	0.802	0.01	0.045	0.289	0.022	0.006	0.568	0.915
g__Staphylococcus	0.007	0.348	0.003	0.001	0.0	0.0	0.803	0.02	0.064	0.075	0.001	0.005	0.106	0.001	0.0	0.318	0.005	0.0	0.0	0.0	0.0	0.767	0.887	0.003	0.072	0.024	0.0	0.002	0.028	0.951	0.01	0.0	0.051	0.28	0.0	0.006	0.064	0.959	1.0	0.0	0.0	0.07	0.0	0.229	0.007	0.0	0.0
g__Roseburia	0.0	0.378	0.0	0.12	0.0	0.0	0.521	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.504	0.0	0.011	0.007	0.0	0.0	0.004	0.064	0.0	0.0	0.303	0.0	0.0	0.0	0.802	0.0	1.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0
g__Rothia	0.001	0.526	0.0	0.003	0.0	0.0	0.085	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.017	0.002	0.0	0.0	0.0	0.0	0.001	0.014	0.076	0.001	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.654	0.0	0.0	0.0	0.01	0.0	0.0	1.0	0.0	0.0	0.15	0.968	0.0	0.0
g__Veillonella	0.681	0.401	0.01	0.006	0.005	0.0	0.553	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.0	0.0	0.01	0.0	0.0	0.048	0.0	0.0	0.867	0.24	0.849	0.0	0.0	0.045	0.07	0.0	0.0	1.0	0.001	0.98	0.003	0.0	0.106
g__Ruminococcus	0.0	0.07	0.0	0.01	0.002	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.079	0.792	0.0	0.0	0.0	0.0	0.002	0.0	0.537	0.012	0.127	0.0	0.0	0.0	0.004	0.011	0.0	0.0	0.1	0.047	0.0	0.0	0.289	0.0	0.0	0.0	0.001	1.0	0.056	0.489	0.0	0.0
g__Clostridium	0.007	0.071	0.037	0.461	0.539	0.609	0.017	0.942	0.008	0.012	0.039	0.524	0.586	0.228	0.087	0.135	0.0	0.791	0.664	0.006	0.002	0.0	0.003	0.0	0.655	0.172	0.001	0.056	0.263	0.002	0.122	0.944	0.923	0.089	0.764	0.79	0.003	0.022	0.229	0.0	0.15	0.98	0.056	1.0	0.879	0.924	0.422
g__Collinsella	0.0	0.009	0.546	0.272	0.482	0.662	0.445	0.582	0.584	0.552	0.811	0.012	0.108	0.995	0.195	0.785	0.003	0.022	0.89	0.241	0.146	0.614	0.373	0.971	0.061	0.056	0.014	0.364	0.084	0.0	0.015	0.484	0.105	0.018	0.826	0.002	0.495	0.006	0.007	0.81	0.968	0.003	0.489	0.879	1.0	0.001	0.23
g__Coprococcus	0.0	0.278	0.0	0.0	0.0	0.0	0.789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.045	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.267	0.0	0.0	0.0	0.568	0.0	0.0	0.0	0.0	0.0	0.924	0.001	1.0	0.0
g__Corynebacterium	0.01	0.547	0.0	0.0	0.0	0.0	0.211	0.0	0.001	0.002	0.0	0.0	0.033	0.0	0.02	0.459	0.001	0.0	0.0	0.0	0.0	0.163	0.266	0.006	0.382	0.067	0.0	0.0	0.341	0.388	0.001	0.0	0.009	0.512	0.0	0.0	0.0	0.915	0.0	0.0	0.0	0.106	0.0	0.422	0.23	0.0	1.0
